,Balanced Accuracy,Precision,Recall,F1-score,AUC
FES01,68.33333333333333,46.69444444444444,68.33333333333333,55.478547854785475,50.0
FES02,68.33333333333333,78.53107344632768,68.33333333333333,57.046657046657046,52.5
FES03,70.0,49.0,70.0,57.647058823529406,50.0
FES04,75.0,65.32967032967034,75.0,68.51251158480073,49.714285714285715
FES05,79.16666666666666,73.14102564102564,79.16666666666666,73.95833333333334,53.31510594668488
FES06,87.5,89.07894736842104,87.5,82.56420545746388,53.84615384615385
FES07,75.0,57.631578947368425,75.0,65.17857142857143,49.31506849315068
FES08,62.5,45.83333333333333,62.5,52.88461538461539,45.45454545454545
Mean,73.22916666666666,63.15500918882386,73.22916666666666,64.15881261421958,50.518144931852575
SD,7.234148139591527,15.061485697658274,7.234148139591527,9.683903580930338,2.527275072328963
